Net Status Report
Filename     : C:\Users\Shyamanth R H\Documents\Integrated Projects\Nucleo-G431RB-Custom_inverter-V1\PCB Design\CUSTOM-INVERTER-A2212\NUCLEOG431RB-Custom-IN-A2212.PcbDoc
Date         : 25-09-2020
Time         : 19:02:23
Time Elapsed : 00:00:00

Nets, Layer, Length
    15V, Signal Layers Only, 141.0288mm
    3v3, Signal Layers Only, 352.3989mm
    5V, Signal Layers Only, 124.2442mm
    60V, Signal Layers Only, 6.9145mm
    A+/H1, Signal Layers Only, 43.1235mm
    A_GND, Signal Layers Only, 331.1454mm
    B+/H2, Signal Layers Only, 61.5294mm
    BEMF_U, Signal Layers Only, 88.0601mm
    BEMF_V, Signal Layers Only, 100.6585mm
    BEMF_W, Signal Layers Only, 80.9202mm
    BKIN, Signal Layers Only, 93.9406mm
    CMP_Supply, Signal Layers Only, 59.4042mm
    CMP_ref, Signal Layers Only, 18.9681mm
    CPOUT, Signal Layers Only, 37.9236mm
    CS_ALERT_U, Signal Layers Only, 13.3392mm
    CS_ALERT_V, Signal Layers Only, 74.9466mm
    CS_ALERT_W, Signal Layers Only, 112.7256mm
    CS_RESET_U, Signal Layers Only, 95.4194mm
    CS_RESET_V, Signal Layers Only, 15.0185mm
    CS_RESET_W, Signal Layers Only, 13.5361mm
    CURRENT REF, Signal Layers Only, 74.5847mm
    Curr_fdbk1, Signal Layers Only, 71.0259mm
    Curr_fdbk2, Signal Layers Only, 142.7845mm
    Curr_fdbk3, Signal Layers Only, 173.573mm
    GND_ISO, Signal Layers Only, 10.4913mm
    GPIO_BEMF, Signal Layers Only, 261.7786mm
    G_U_HO, Signal Layers Only, 59.4715mm
    G_U_HSig, Signal Layers Only, 82.9193mm
    G_U_LO, Signal Layers Only, 49.8856mm
    G_U_LSig, Signal Layers Only, 99.5143mm
    G_V_HO, Signal Layers Only, 58.0503mm
    G_V_HSig, Signal Layers Only, 40.9066mm
    G_V_LO, Signal Layers Only, 47.5144mm
    G_V_LSig, Signal Layers Only, 19.5513mm
    G_W_HO, Signal Layers Only, 55.7428mm
    G_W_HSig, Signal Layers Only, 9.8113mm
    G_W_LO, Signal Layers Only, 49.2213mm
    G_W_LSig, Signal Layers Only, 13.7977mm
    HB_Supply, Signal Layers Only, 10.361mm
    J2_1, Signal Layers Only, 0mm
